,driver_id,trip_count,total_trip_duration,total_trip_distance,number of days
17252,d7696c2f5c8e80e7d73a5e6aa13ea9874cd5c05219a62812b142020811ab9c44,2,5152.0,5.52,2
17253,d76f4836a5dc4fe75d3d229fef68a79608b3ca9c523a0a0fd2c06dcb7c5f8da3,31,55519.0,165.4699999999999,7
17254,d776eaa03cbcee40555ea973e0e541c87abd9444e6b81df93b402b438d6d9e13,12,46485.0,121.99999999999977,7
17255,d777b8174b4868a31ea94de112a1c6cd3040fb75d8dfe5129f5a9b28351f52f3,5,5844.0,21.130000000000003,2
17256,d77f648a14e1f5db0be5ff454d6b4912a76bf2ff3164df3c71a5eb825b689446,5,6396.0,20.08999999999999,2
17257,d78453231e4349e40109797579fbe680ecda69d0f93e4b40d0b2ff3b2e51f80b,15,15245.0,33.15999999999998,4
17258,d78696f7771537d45e313181a4e0fa5b074af2502c0baf207573c7ff127f1bdf,18,85171.0,273.6300000000001,8
17259,d78761a6dc727c70a1609e77e179f28d6e1d852023fd5f4551ec6258d8d505c1,13,56785.0,127.83999999999993,6
17260,d7879970df3856e7e23f3229210179810bf69121bdfdf577f2cbc74abdc6a8ef,6,15164.0,14.32,4
17261,d7887e33e0a1eccabecbdd5517474a126d4d5e064e057f96f95c12c129b53ed7,123,166193.0,503.4299999999998,14
17262,d788bc4e2d23a8883136856f118a0ba93e5f7dd43ae0a72c671a8282e9a9381e,24,140702.0,294.1000000000001,10
17263,d788d0587d20d446e8a727b9afe9d6aeaf71a904ac9fc48527da31e632225b8c,4,7600.0,13.879999999999995,2
17264,d78914d626d40358d67c6f42b06f89b55ea66bc5980f20718178e62695b048e2,27,129148.0,415.89999999999986,14
17265,d78a5a6883fe1ba1d368db82ec67508349a4968c4e86fab3b18c564f71b865ba,4,7501.0,12.189999999999996,4
17266,d7938f5088225d41db0140c9f3e0e58bb93867dbca0361a085359ab00aee6e26,32,34640.0,87.81999999999996,12
17267,d79807d2ccb09715a31637dd722643cd97631bbf3dba889b9fc983114454db4e,30,22804.0,61.779999999999994,4
17268,d79875078642f14f593a0bf18afebb782dc880eb05032cdd5352947d04295ab2,76,45550.0,122.26,7
17269,d79941488d57eebc6fbe496444445ba27b89f0719ebd7a0a4cd55c4854dbd97d,17,32255.0,109.07999999999993,5
17270,d79aff616324f90b2a4b408dad8f01ba06b50ae36cb7ac0a86b13a075d91c61b,3,9875.0,29.74000000000001,3
17271,d79e1d3a28c8f2f1fb89fe6885c81323ddcc1525cc24a38e81a4d700944fe1fd,92,144642.0,422.6699999999998,14
17272,d7a18c61c89a982c99a8825d9f4115332261d2df3d90ae0fa489ec74138c4c1a,2,1195.0,1.6500000000000004,1
17273,d7a51d612d9293a4997f1fe907521d3635c4a250a5bb22f774e18e3fbff4c58d,2,6027.0,1.8200000000000007,1
17274,d7a7f17089edb1249425eaad223589a16fccd37031c262dfad15f90250305db3,5,17535.0,11.87,3
17275,d7aa85e043747a9d15cd3e76595378d03d938d944a7f9bc859b4c1e1000413c2,13,37582.0,149.14999999999992,6
17276,d7ad6771bccf139baa9a60014eb01ada8c0a378945d9e4fd19a5684d550b31b7,37,54556.0,135.3,10
17277,d7ae8cc7321bbd7f55457c630f4aa406c983ff18dbf306dafeddeced9321b2e9,67,100127.0,233.60999999999984,15
17278,d7b2eb5af17b127b3317cf8ddb150db0dd7431efab2a128cc16e439c626835df,2,6433.0,19.069999999999983,2
17279,d7b2f2e49dbe936a55af882f6996cabda0d16f080e8870c9964aa0e8c5046ab7,5,10220.0,36.759999999999984,3
17280,d7b7031388b9a03ed629fda192463088fb64b284b460fcd1e2ae1b29a387b5f0,18,166948.0,294.46,12
17281,d7c08456c67af03809b556a28edb232c2cc42e90da1749b26183a78591b57147,59,59536.0,154.2499999999999,11
17282,d7c18c7580932756f3494b121c8e1a9c80f3adf6f00a634a0ed8e9f427889923,4,80650.0,80.00000000000016,3
17283,d7c38faf1ddb6c9fbd64a61aea1af98ca2c693815de9c478143e87b1dde6d87d,9,30436.0,39.039999999999964,3
17284,d7c4084ac8474c5a79c6e20f1c064ecd64f67eb5e0b16507850fbe23c11a1de1,72,296159.0,928.8200000000013,19
17285,d7c67ca7297748e2f5fde0eac85787f68eeeb6fc7fabab7fddbb00687628ebfd,12,38248.0,154.42999999999992,3
17286,d7c7673ba8ca7b0f04b1af4df026cbea7fed5b8acf59b27d33ef988c60eff054,80,117613.0,331.65999999999985,15
17287,d7cb751cdf013515a4e3181039e5b67d90d6dd771fbd270f32d76ffeafc6c275,1,3604.0,3.629999999999996,1
17288,d7cbe04d21b8c2b4fbca0cd12ef5d43fe2c328465366f55c9b362872322c6cca,30,41926.0,109.77999999999997,8
17289,d7d3dd5e180ad09676918c31e287aa71765adc2fda94b0c168b0ab11bf616ea9,12,37569.0,73.81999999999994,6
17290,d7d899e3981920a38288f18346d14f9a64ca30ee6bc9908b77727544f292f747,27,28458.0,104.05999999999993,6
17291,d7dac0cc377cba380a151b8494857f7876692632dd54baa39f7b776fdbb0eebb,26,31034.0,85.42999999999995,5
17292,d7deeb78bc955e72926cddd93d264492c8aad9f6f18774a8dd2d637c8b623d03,12,20714.0,43.189999999999976,4
17293,d7df3102ad53c9f48d359ef018a42fb31567ea5c9779d060847033404f6de79e,25,78034.0,220.3799999999999,8
